filename,fitness,makespan,missed,baseline
100.10.1.json.result.jsonc,0.30438375,1776.5674,29,1647.1931371277365
100.10.2.json.result.jsonc,0.33227932,1774.2977,32,1628.4618262977046
100.10.3.json.result.jsonc,0.29714894,1933.4711,28,1619.0297421496223
100.10.4.json.result.jsonc,0.4186745,1746.1786,41,1594.5178442311103
100.20.1.json.result.jsonc,0.036058202,4302.307,1,4246.817838675374
100.20.2.json.result.jsonc,0.15872367,4055.9934,14,4055.993734698326
100.20.3.json.result.jsonc,0.24294508,4873.014,23,5239.522645003226
100.20.4.json.result.jsonc,0.12202892,4573.8687,10,4469.019420216559
100.30.1.json.result.jsonc,0.14914948,8638.443,13,8862.635756480926
100.30.2.json.result.jsonc,0.09073215,7986.162,7,8683.579501894274
100.30.3.json.result.jsonc,0.43063676,7592.41,43,9026.783650332121
100.30.4.json.result.jsonc,0.25224587,8399.545,24,9177.910754574132
100.40.1.json.result.jsonc,0.6885693,7888.1826,71,14797.055987979562
100.40.2.json.result.jsonc,0.7053103,7050.143,73,15185.248390174867
100.40.3.json.result.jsonc,0.65191317,8952.168,67,15262.917001359594
100.40.4.json.result.jsonc,0.5778849,9571.911,59,14666.91913577742
